,precision,recall,f1-score,support
Adaptation,0.9743589743589743,0.9661016949152542,0.9702127659574468,118.0
Environment,0.9280575539568345,0.9280575539568345,0.9280575539568345,139.0
Mitigation,0.9621212121212122,0.9657794676806084,0.9639468690702088,263.0
accuracy,0.9557692307692308,0.9557692307692308,0.9557692307692308,0.9557692307692308
macro avg,0.9548459134790072,0.9533129055175658,0.9540723963281633,520.0
weighted avg,0.9557927649273803,0.9557692307692308,0.9557752556700839,520.0
