"country","iso_3","PVCCI","Flood","Aridity","Rainfall","Temperature","Storms","Region"
"France","FRA",45.665206,2.0432856,42.3756906,73.8114817,55.924004,7.1450668,"Europe & Central Asia"
"Gabon","GAB",47.5632147,0.6125714,34.0749252,62.2301802,79.2289458,0,"SubSaharan Africa"
"Georgia","GEO",39.8449042,1.3062857,34.5871878,71.6135817,40.1446998,0,"Europe & Central Asia"
"Germany","DEU",50.633537,5.0898571,45.3638419,75.3189173,71.1480938,0,"Europe & Central Asia"
"Ghana","GHA",51.1239473,0.7962857,39.3855795,68.0443377,82.9843364,0,"SubSaharan Africa"
"Greece","GRC",50.1091324,9.4711428,53.7166393,76.6170803,60.9037675,0,"Europe & Central Asia"
"Grenada","GRD",58.4122511,25.4547138,39.7437205,65.5776621,82.5572697,60.9616033,"Latin America & Caribbean"
"Guatemala","GTM",48.3544588,0.4761429,41.9106543,57.3569363,75.2146166,31.4162712,"Latin America & Caribbean"
"Guinea","GIN",50.1018748,0.6961429,44.6081096,62.1884046,81.8087806,0.7395793,"SubSaharan Africa"
"Guinea-Bissau","GNB",51.1960737,7.9169998,50.3703701,59.0020021,83.7514266,3.1303392,"SubSaharan Africa"
"Guyana","GUY",48.1447056,1.025,34.9537466,58.1915026,83.5493709,0,"Latin America & Caribbean"
"Haiti","HTI",56.9691972,6.4219999,39.1722983,69.8528896,77.0610824,61.9184907,"Latin America & Caribbean"
"Honduras","HND",51.3952446,1.1198572,38.2149954,64.7228872,74.3886835,44.9776334,"Latin America & Caribbean"
"Hungary","HUN",45.6974987,0,45.452243,77.270786,49.0369876,0,"Europe & Central Asia"
"Iceland","ISL",45.5669732,51.602,28.7649032,69.8773005,32.9634822,30.3666082,"Europe & Central Asia"
"India","IND",57.418498,44.824,55.6542699,70.5759133,76.7672739,22.4423028,"South Asian"
"Indonesia","IDN",45.6811347,4.9450002,33.5323667,52.5708714,80.6005446,4.9813042,"East Asia Pacific"
"Iran","IRN",60.3377498,1.2838571,83.6936095,82.6666267,65.1489061,10.8995681,"MENA"
"Iraq","IRQ",65.9854082,1.0225714,81.2003809,83.2625697,90.791891,0,"MENA"
"Ireland","IRL",45.8264504,5.4652858,29.0658379,69.6846499,50.2345053,47.3937713,"Europe & Central Asia"
"Israel","ISR",60.5424527,10.1174288,81.7705233,81.6996119,69.7376186,0,"MENA"
"Italy","ITA",45.3543886,5.5570002,45.6246347,72.5410651,53.9482081,0,"Europe & Central Asia"
"Jamaica","JAM",65.0124261,7.7820001,42.025251,66.4955076,78.2258281,93.6240557,"Latin America & Caribbean"
"Japan","JPN",61.6665336,6.6392856,42.2582937,63.1197747,56.567282,100,"East Asia Pacific"
"Jordan","JOR",60.9364232,3.0198572,81.3048332,84.6818079,69.1059646,0,"MENA"
"Kazakhstan","KAZ",58.8821418,9.5812855,88.6704231,82.1734003,51.2720239,0,"Europe & Central Asia"
"Kenya","KEN",58.4616754,0.1721429,71.328311,75.7472849,79.1418266,0,"SubSaharan Africa"
"Kiribati","KIR",65.1303324,96.9329987,25.5545938,64.904404,83.3557189,0,"East Asia Pacific"
"Kuwait","KWT",55.4067208,8.1491432,43.996406,84.4053106,78.8871019,0,"MENA"
"Kyrgyzstan","KGZ",53.9313742,0,86.1472514,80.042277,26.7366897,0,"Europe & Central Asia"
"Laos","LAO",47.4229658,0,30.3521129,62.6881755,76.7930048,22.2814881,"East Asia Pacific"
"Latvia","LVA",45.7200045,1.7644286,49.0461478,76.5363201,46.7455659,0,"Europe & Central Asia"
"Lebanon","LBN",56.7899662,0.8072857,81.6067019,76.167993,60.5279491,0,"MENA"
"Lesotho","LSO",49.8934575,0,57.5580861,74.4160022,59.9675815,0,"SubSaharan Africa"
"Liberia","LBR",45.9838966,0.5435714,38.6597348,50.5926839,80.7347725,0,"SubSaharan Africa"
"Libya","LBY",62.6320165,1.1241429,82.9612578,85.4223422,73.7091373,0,"MENA"
"Liechtenstein","LIE",43.3752581,0,43.2975284,64.8730362,57.6530857,0,"Europe & Central Asia"
"Lithuania","LTU",46.019565,2.1338573,46.8359502,76.218979,50.8085573,0,"Europe & Central Asia"
"Luxembourg","LUX",46.5313651,0,47.7683517,72.149076,57.780058,0,"Europe & Central Asia"
"Madagascar","MDG",61.2678968,1.3024286,37.9873692,64.8271092,73.6926289,87.697672,"SubSaharan Africa"
"Malawi","MWI",50.3024138,0,44.7425108,71.1422322,73.8163285,11.8196591,"SubSaharan Africa"
"Malaysia","MYS",42.2433964,3.3074286,32.6217296,51.8297994,71.8406448,0,"East Asia Pacific"
"Maldives","MDV",66.5195219,100,42.7915069,56.604253,84.1966714,0,"South Asian"
"Mali","MLI",62.834649,0,76.7074436,81.0335112,85.3843793,0.1071389,"SubSaharan Africa"
"Malta","MLT",52.4333665,29.7687149,45.9221168,79.2073226,66.9139182,0,"MENA"
"Marshall Is.","MHL",68.8267315,100,50.025078,44.5119571,82.2812625,49.3109108,"East Asia Pacific"
"Mauritania","MRT",64.742909,1.0375714,83.1252536,84.5132801,83.0953817,0,"SubSaharan Africa"
"Mauritius","MUS",63.7715726,10.2201433,50.2968405,60.1012976,75.182421,91.8437884,"SubSaharan Africa"
"Mexico","MEX",58.5818231,2.2477143,59.1223443,74.9691426,70.1990848,55.7706224,"Latin America & Caribbean"
"Micronesia","FSM",56.9190165,49.643856,51.3244174,50.8774678,80.042,45.8794667,"East Asia Pacific"
"Moldova","MDA",55.6093683,0,82.229185,78.2369421,50.7873136,0,"Europe & Central Asia"
"Mongolia","MNG",58.405897,0,87.2364015,82.672778,51.1005166,0.0570271,"East Asia Pacific"
"Montenegro","MNE",40.6334863,1.5708572,38.0660839,69.9312695,43.7438482,0,"Europe & Central Asia"
"Morocco","MAR",58.7077915,0.9134285,82.9496062,81.1456262,61.1900521,4.7662615,"MENA"
"Mozambique","MOZ",56.2707286,0.5887143,45.9061667,71.7422455,76.3945338,52.3562522,"SubSaharan Africa"
"Myanmar","MMR",54.0246434,46.172,35.6393204,59.9710019,76.1250095,42.42355,"East Asia Pacific"
"Namibia","NAM",63.4810268,0.3302857,84.6374489,81.5771852,79.5660723,0,"SubSaharan Africa"
"Nauru","NRU",39.9109332,0,15.4108556,27.0275631,83.644661,0,"East Asia Pacific"
"Nepal","NPL",51.4847561,53.618,37.373564,71.7773334,61.8849073,0,"South Asian"
"Netherlands","NLD",51.8282786,25.2674294,44.4899757,74.310241,72.7395316,0,"Europe & Central Asia"
"New Zealand","NZL",40.2608916,3.4687142,32.8387204,61.9060405,56.1773892,5.1016204,"East Asia Pacific"
"Nicaragua","NIC",51.5159308,1.9151429,44.8312442,60.7129088,76.3158757,41.7824992,"Latin America & Caribbean"
"Niger","NER",64.6939687,0,83.4142212,83.3033747,83.8401061,0,"SubSaharan Africa"
"Nigeria","NGA",53.8790742,0.4321429,53.0109731,68.9293001,83.3856986,0,"SubSaharan Africa"
"North Korea","PRK",42.9407681,2.2909999,43.7906258,68.8545076,45.7560113,21.4970801,"East Asia Pacific"
"Norway","NOR",42.2135888,7.4005713,38.8746461,70.3503705,34.6144507,34.59182,"Europe & Central Asia"
"Oman","OMN",69.7028998,1.013,79.2936314,84.6536146,80.4342331,66.0913363,"MENA"
"Pakistan","PAK",61.5875335,44.654,73.6791401,81.540953,68.4579165,14.39141,"South Asian"
"Palau","PLW",56.5196373,48.2558556,38.7517198,59.5402324,84.5218377,38.1188048,"East Asia Pacific"
"Panama","PAN",47.2941603,6.1187143,29.9003154,60.8717629,78.2129261,20.7264837,"Latin America & Caribbean"
"Papua New Guinea","PNG",43.9389707,3.0568571,28.3170869,45.4227723,80.1896929,18.6641064,"East Asia Pacific"
"Paraguay","PRY",48.5428291,0,39.9622741,70.7652556,71.9536414,0,"Latin America & Caribbean"
"Peru","PER",51.1712215,44.333,41.7797528,64.3869822,72.35899,0,"Latin America & Caribbean"
"Philippines","PHL",55.844681,8.3929996,26.9605726,57.6610073,80.4427455,70.7106781,"East Asia Pacific"
"Poland","POL",47.5290257,1.7611428,42.6738186,77.0820939,59.4073714,0,"Europe & Central Asia"
"Portugal","PRT",47.4842343,2.4779999,47.0231623,73.7261992,60.1551334,1.5005815,"Europe & Central Asia"
"Qatar","QAT",55.2188687,9.0417147,40.5217439,85.0346495,79.3155808,0,"MENA"
"Romania","ROU",44.2777081,2.9974287,44.8404976,76.5432592,43.8640155,0,"Europe & Central Asia"
"Russia","RUS",48.3743249,1.7359999,52.1808069,79.0931351,52.0001789,3.8449504,"Europe & Central Asia"
"Rwanda","RWA",51.7859817,0,44.4843507,71.1117064,79.8323696,0,"SubSaharan Africa"
"Samoa","WSM",57.3588659,13.7925711,35.7190738,58.891536,84.8726428,65.6698691,"East Asia Pacific"
"San Marino","SMR",44.4481923,0,43.2028347,73.2294742,51.4700705,0,"Europe & Central Asia"
"Sao Tome & Principe","STP",46.925615,0.9920635,38.8118646,61.9559244,75.2607809,0,"SubSaharan Africa"
"Saudi Arabia","SAU",63.5651367,0.5701429,82.2563316,84.9836937,78.8287742,5.54e-05,"MENA"
"Senegal","SEN",60.8841758,1.6391429,75.9086263,74.1647034,85.2593764,0.2084597,"SubSaharan Africa"
"Serbia","SRB",43.5181044,0,39.7789785,75.0682118,47.450221,0,"Europe & Central Asia"
"Seychelles","SYC",55.2575116,43.8180008,38.8244086,64.5004367,82.1787802,30.4294727,"SubSaharan Africa"
"Sierra Leone","SLE",48.9314932,1.3354286,44.9115274,56.17187,82.4460277,0,"SubSaharan Africa"
"Singapore","SGP",46.2344408,26.4991436,40.1790908,54.2981506,73.6428167,0,"East Asia Pacific"
"Slovakia","SVK",44.8769736,0,41.6184225,74.8413821,52.3104983,0,"Europe & Central Asia"
"Slovenia","SVN",43.7126129,0.2164286,48.5255488,66.3992819,52.823501,0,"Europe & Central Asia"
"Solomon Is.","SLB",55.3701211,23.1071434,35.3691559,72.038267,82.6652295,39.0036182,"East Asia Pacific"
"Somalia","SOM",62.988433,0.6755714,78.0665002,81.8415467,83.933514,0.0711395,"SubSaharan Africa"
"South Africa","ZAF",57.8567264,0.2244286,75.85063,78.8748803,68.7709832,5.7393947,"SubSaharan Africa"
"South Korea","KOR",45.7560032,6.3184285,35.233883,67.2366076,49.6598573,46.9025292,"East Asia Pacific"
"South Sudan","SSD",58.5472461,0,69.0586965,71.828582,84.9143765,0,"SubSaharan Africa"
"Spain","ESP",53.2450542,1.482,71.8974741,76.6697429,55.9052743,0.294484,"Europe & Central Asia"
"Sri Lanka","LKA",50.8080715,3.590857,38.9383577,63.8539197,82.3459733,22.8041289,"South Asian"
"St. Kitts & Nevis","KNA",55.495321,33.3662872,36.3478119,65.6953244,78.5290008,49.8146674,"Latin America & Caribbean"
"St. Lucia","LCA",51.8000229,12.3855715,41.0322837,59.6244111,80.8215892,38.6259177,"Latin America & Caribbean"
