,precision,recall,f1-score,support
0,0.9378698224852071,0.9378698224852071,0.9378698224852071,338.0
1,0.9380530973451328,0.9380530973451328,0.9380530973451328,339.0
accuracy,0.9379615952732644,0.9379615952732644,0.9379615952732644,0.9379615952732644
macro avg,0.93796145991517,0.93796145991517,0.93796145991517,677.0
weighted avg,0.9379615952732644,0.9379615952732644,0.9379615952732644,677.0
