label,covariate,is_binary,point_estimate,lower_bound,upper_bound,q_trim,n_trimmed,median_value,ci_low_lower,ci_high_upper,r1,r0,convergence,msg
miti,colony,1,28.5487192774184,-14.4631415101089,55.9394232599206,0.322482197355036,72,,-25.0675460417313,77.5591260391367,0.833333333333333,0.564598168870804,1,ok
miti,comlang,1,10.9696018668581,-10.8150767041817,19.7509297433997,0.17872844809469,84,,-18.7675109925467,29.7229849876931,0.683139534883721,0.561043065981825,1,ok
miti,comrelig,1,-17.742523675642,-17.742523675642,-17.742523675642,0,0,,-52.2729322003962,10.0179483008606,,0.519337016574586,1,tight: degenerate retention (one cell empty)
miti,wto,1,15.8240298740022,-7.13636336445753,29.4386738120617,0.19568304035597,323,,-23.9832150891414,63.2148848985267,0.605051244509517,0.486652977412731,1,ok
miti,EIA,1,2.91987201323617,2.91987201323617,2.91987201323617,0.115273178807947,0,,-4.3200658350707,8.78976137311418,0.666666666666667,0.589817880794702,1,tight: q approx 0
miti,InvestAgree,1,5.45226865555002,-9.32413705348051,14.2609769998094,0.131786672629696,96,,-19.1834962274122,23.6654267639124,0.641791044776119,0.557211538461539,1,ok
miti,MDBDummy,1,6.18541136056293,-51.6373035900066,-0.54711473198907,1,1754,,-256.513649544127,378.989663742084,0,5.93243243243243,1,ok
miti,NDCActOnly,1,8.87859789546838,7.16164263867569,13.4960635335904,0.032940817949365,52,,-16.9918910205682,28.8014325296844,0.570888468809074,0.590334572490706,1,ok
miti,NDCnonGHG,1,18.279103197263,15.4195553684168,18.4210179697023,0.00619697081839039,2,,-10.0825914228456,37.5317475705656,0.59,0.58634378721715,1,ok
miti,NDC15,1,10.9864651641137,10.6136594300985,12.723828615415,0.0140332203579731,26,,-12.4180830579866,46.91271602902,0.578947368421053,0.5871875,0.856666666666667,ok
miti,NDC16,1,13.1748114066577,-18.7557986561731,36.1141451827887,0.373678898558452,44,,-32.3521096519168,54.649533632868,0.915384615384615,0.57332470055034,1,ok
miti,NDC17,1,5.62890527919773,-25.9087668635604,35.7842797530215,0.45541842425109,32,,-32.7360860348772,56.2176525000265,1.05970149253731,0.577093908629442,1,ok
miti,NDC18,1,10.8410125398263,-0.201697659852715,37.4374727692577,0.201924903438232,375,,-24.4168111046732,68.9411459042483,0.470588235294118,0.589654078070454,0.996666666666667,ok
miti,RecipientWRIVul,0,23.7986312682072,2.80651775213951,79.4662024587249,0.106358248424982,105,0.6334,-127.112539669928,141.165588265376,0.554461538461538,0.620451693851945,1,ok
miti,CPIAPublicAdm,0,10.2064620879193,-7.26533000058377,17.9027239730826,0.157369494152934,98,3,-26.1976560867858,38.7196571492668,0.660357518401682,0.556437389770723,1,ok
miti,CPIAbudget,0,-2.56761826833226,-2.64131552390932,-2.22189126125315,0.0100179809915231,16,3.5,-18.0758900832904,17.6966895535032,0.582150101419878,0.588041085840059,1,ok
miti,RecipientGDPtot,0,12.6428755004263,8.97647879229482,13.2371175441005,0.0396198147402335,37,2.91775506307003,3.08978566279569,20.6124331950517,0.599121706398996,0.575384615384615,1,ok
miti,ProviderGDPtot,0,1.16983320121118,0.473316398742679,1.47008517223233,0.0100071764872893,9,7.29896784984811,-3.10525720743618,5.68791580066272,0.590112640801001,0.584207279457125,1,ok
miti,RecipientPop,0,-65.5857708161661,-58.8984995034415,-58.6568912368127,0.0492503321313341,47,0.018110624,-172.112189886877,324.450607827687,0.602137020741672,0.572481572481573,1,ok
miti,ProviderPop,0,199.998209444658,123.800936292561,191.379871899269,0.0987725723765076,95,0.049936638,73.1608977582877,254.35304375869,0.6185303514377,0.557436517533253,1,ok
miti,Recipientdebt,0,15.3495562025932,0.174325905961364,19.2901658424144,0.0678813623895154,65,0.38552653,-25.7097158728178,64.7465890902596,0.608065532451166,0.566789215686275,1,ok
miti,Providerdebt,0,-2.71992834388988,-4.38961021754574,7.71249677234837,0.09828447239434,96,0.54819552,-13.1510686366204,15.8875395240334,0.557125307125307,0.617850408548083,1,ok
miti,RecipientfisB,0,52.4354712717703,13.5825291758952,91.6878243631115,0.0694916287076674,68,-0.032,-321.149125808322,203.23280823463,0.565896314803248,0.608158220024722,1,ok
miti,ProviderfisB,0,300.565534014861,138.601896878171,506.852865711579,0.226317470456723,228,-0.024,71.2946094815923,615.023019654931,0.667107001321004,0.516129032258065,1,ok
miti,distw,0,-4.5109667395402,-8.55245001613807,5.59692908407191,0.0983569072371052,95,8.82990487307004,-21.1252639527782,13.9678395154093,0.557317073170732,0.618112729575681,1,ok
