Variable;Uncorrelated_Estimate;Uncorrelated_Std. Error;Uncorrelated_t-value;Uncorrelated_Pr(>|t|);Correlated_Estimate;Correlated_Std. Error;Correlated_t-value;Correlated_Pr(>|t|)
Correlation coefficient;NA;NA;NA;NA;0.884317377573517;0.00935137183666247;94.5655239701315;0
h1.(Intercept);-1.4426709767323;0.230268253410985;-6.26517531340896;3.72406105952905e-10;-1.47222619046523;0.229476838627923;-6.41557640094702;1.40291112060709e-10
h1.Colonial Ties;0.23668431386129;0.0282430394657327;8.38027062025173;0;0.217659439398659;0.0280451737320511;7.76103016790762;8.43769498715119e-15
h1.Common Language;0.255598980502548;0.0208045602796997;12.2857189513374;0;0.256360185377403;0.0206914013158299;12.389696640859;0
h1.Common Religion;0.0511850684158129;0.0401088129810477;1.27615515423004;0.201900677918295;0.0547457725401682;0.039930729548201;1.37101859043381;0.170369160879516
h1.CPIAbudget;-0.0364492394771452;0.0164498801470172;-2.21577538264037;0.0267068892181777;-0.032241530602057;0.0163684802407857;-1.96973268915461;0.048869014476471
h1.CPIAPublicAdm;0.104488226529034;0.0183023194151248;5.70901557114593;1.13631495324285e-08;0.106259129622958;0.0181993141093031;5.83863375206216;5.26306220827166e-09
h1.distance;-0.0215089127709096;0.0150506857520163;-1.42909852250607;0.152975918122788;-0.0208140297214644;0.0149863270056229;-1.38886798037004;0.164872898764051
h1.EIA;0.00506047338579795;0.00679891978535766;0.744305499337751;0.456691675023692;0.00484357583670471;0.0067564155713895;0.716885423273128;0.473444796967012
h1. Investment Agreement;-0.0945978938463711;0.0140244721122322;-6.74520175086394;1.52815538001505e-11;-0.0863464718985124;0.0139572750480701;-6.18648494073;6.15205664189489e-10
h1.MDBDummy;0.00431820317932031;0.00252722931892614;1.7086708938448;0.0875119284902497;0.0039890060091763;0.00251316847359626;1.58724178306605;0.112457894853715
h1.INDC15;-0.0290147963754726;0.0731065553068149;-0.396883648172216;0.69145326290908;-0.0659571674132525;0.0594475127333203;-1.10950255747678;0.267213441770384
h1.INDC16;-0.169185841281516;0.0287302607205264;-5.88876804590361;3.89085075269691e-09;-0.16624523468365;0.0279721394186429;-5.9432434607719;2.79436918049214e-09
h1.INDC17;-0.155610504096249;0.0295733600903691;-5.26184727135303;1.42615213416519e-07;-0.162072643861619;0.0287478561970536;-5.63772974063471;1.72306644508069e-08
h1.INDC18;-0.19540160718137;0.0331387220054881;-5.89647383351142;3.71351616124116e-09;-0.199718570458824;0.0324507267743933;-6.15451764292753;7.53063389424824e-10
